mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.00089569091796875,0.0017913818359375003,0.006355810165405274,0.0077845041405999035,1,1,"{'n_neighbors': 1, 'p': 1}",0.9565217391304348,0.9130434782608695,1.0,0.9090909090909091,0.9545454545454546,0.9466403162055336,0.03330493981492634,51,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0015035152435302734,0.00276136705612146,0.002603435516357422,0.0035582594440666843,1,2,"{'n_neighbors': 1, 'p': 2}",0.9565217391304348,0.9130434782608695,1.0,0.9090909090909091,0.9545454545454546,0.9466403162055336,0.03330493981492634,51,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,2,1,"{'n_neighbors': 2, 'p': 1}",0.9130434782608695,0.8260869565217391,1.0,0.9090909090909091,0.9545454545454546,0.9205533596837945,0.0575828422181006,88,0.9550561797752809,0.9662921348314607,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9620474406991262,0.005508434031157573
0.004859113693237304,0.004427506497070658,0.004879093170166016,0.005882600681540589,2,2,"{'n_neighbors': 2, 'p': 2}",0.9130434782608695,0.8695652173913043,1.0,0.9090909090909091,0.9545454545454546,0.9292490118577075,0.04444487840907701,82,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9777777777777777,0.9666666666666667,0.9665168539325842,0.007029678643602581
0.0028639793395996093,0.0014938914926676083,0.0049075126647949215,0.003993701835181595,3,1,"{'n_neighbors': 3, 'p': 1}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,0.9545454545454546,0.9375494071146246,0.04607075017259576,79,0.9662921348314607,0.9662921348314607,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9709612983770286,0.008965360015601796
0.0037966251373291017,0.006157143139331933,0.0007104873657226562,0.0014209747314453125,3,2,"{'n_neighbors': 3, 'p': 2}",0.9565217391304348,0.9130434782608695,1.0,0.9090909090909091,0.9545454545454546,0.9466403162055336,0.03330493981492634,51,0.9662921348314607,0.9662921348314607,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9709612983770286,0.008965360015601796
0.0024291038513183593,0.0033897847812929312,0.004038047790527344,0.006079557042590839,4,1,"{'n_neighbors': 4, 'p': 1}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,1.0,0.9466403162055336,0.05255579490464716,51,0.9775280898876404,0.9662921348314607,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9732084893882647,0.008921443004026188
0.0020170688629150392,0.0024705760664372137,0.0026542186737060548,0.0032699238261994037,4,2,"{'n_neighbors': 4, 'p': 2}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,1.0,0.9466403162055336,0.05255579490464716,51,0.9662921348314607,0.9550561797752809,0.9777777777777777,0.9888888888888889,0.9666666666666667,0.970936329588015,0.01149850010443297
0.0034271717071533204,0.006854343414306641,0.006282186508178711,0.0076943079986457955,5,1,"{'n_neighbors': 5, 'p': 1}",1.0,0.9565217391304348,1.0,0.8636363636363636,1.0,0.9640316205533598,0.05294672584866514,5,0.9662921348314607,0.9662921348314607,0.9777777777777777,0.9888888888888889,0.9666666666666667,0.9731835205992508,0.009002417152245881
0.0,0.0,0.006394767761230468,0.007831966544273677,5,2,"{'n_neighbors': 5, 'p': 2}",1.0,0.9565217391304348,0.9545454545454546,0.8636363636363636,1.0,0.9549407114624507,0.04979923448304139,30,0.9775280898876404,0.9775280898876404,0.9666666666666667,0.9777777777777777,0.9555555555555556,0.9710112359550562,0.008814513004233875
0.001905679702758789,0.003811359405517578,0.0013039588928222656,0.002607917785644531,6,1,"{'n_neighbors': 6, 'p': 1}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,1.0,0.9466403162055336,0.05255579490464716,51,0.9662921348314607,0.9550561797752809,0.9555555555555556,0.9888888888888889,0.9555555555555556,0.9642696629213484,0.01301503965353939
0.0019521236419677735,0.0016722006113928636,0.006706857681274414,0.0028600066708565587,6,2,"{'n_neighbors': 6, 'p': 2}",1.0,0.9565217391304348,1.0,0.8636363636363636,1.0,0.9640316205533598,0.05294672584866514,5,0.9775280898876404,0.9887640449438202,0.9555555555555556,0.9888888888888889,0.9666666666666667,0.9754806491885143,0.012923754502843405
0.0032582759857177736,0.0030779746533410673,0.0025817394256591798,0.002431223038222793,7,1,"{'n_neighbors': 7, 'p': 1}",1.0,0.9565217391304348,0.9545454545454546,0.8636363636363636,0.9545454545454546,0.9458498023715416,0.044623788228946075,61,0.9662921348314607,0.9662921348314607,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9709612983770286,0.008965360015601796
0.003218841552734375,0.00643768310546875,0.006271839141845703,0.007682174298835242,7,2,"{'n_neighbors': 7, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9887640449438202,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9754556803995007,0.010918129412434236
0.0,0.0,0.008437824249267579,0.007158935582171183,8,1,"{'n_neighbors': 8, 'p': 1}",1.0,0.9130434782608695,1.0,0.8636363636363636,0.9545454545454546,0.9462450592885375,0.05248738028001976,59,0.9550561797752809,0.9662921348314607,0.9555555555555556,0.9888888888888889,0.9555555555555556,0.9642696629213484,0.01301503965353939
